rank,brand,model,option_name,function,sales_point,data_status
1,기아,쏘렌토,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",패밀리/장거리 고객에게 안전 편의 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
1,기아,쏘렌토,서라운드 뷰/주차 보조,차량 주변을 화면으로 확인하고 주차 부담을 줄이는 기능,SUV 운전에 부담을 느끼는 고객에게 제안하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
1,기아,쏘렌토,전동 테일게이트/컴포트 옵션,"짐 적재, 승하차, 시트 편의성을 높이는 기능",패밀리/레저 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
2,테슬라,Model Y,충전/배터리 편의 기능,"충전 상태 확인, 회생제동, 전비 관리 등 EV 운행 편의 기능",전기차 전환 고객에게 운영 편의성 중심으로 설명,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
2,테슬라,Model Y,V2L/전기 편의 기능,차량 전력을 외부 기기에 활용하는 기능,레저/업무 활용도가 필요한 고객에게 포인트가 됨,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
2,테슬라,Model Y,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",전기차 장거리 운행 고객에게 안전 편의 옵션으로 제안,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
3,현대,그랜저,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",출퇴근/법인 고객에게 안전 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
3,현대,그랜저,내비게이션/HUD/디지털 편의,주행 정보 확인과 길안내 편의성을 높이는 기능,업무 이동이 많은 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
3,현대,그랜저,컴포트/시트 편의 옵션,통풍/열선/전동시트 등 승차 편의 기능,장기렌트 고객의 만족도를 높이는 기본 제안 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
4,현대,쏘나타 디 엣지,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",출퇴근/법인 고객에게 안전 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
4,현대,쏘나타 디 엣지,내비게이션/HUD/디지털 편의,주행 정보 확인과 길안내 편의성을 높이는 기능,업무 이동이 많은 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
4,현대,쏘나타 디 엣지,컴포트/시트 편의 옵션,통풍/열선/전동시트 등 승차 편의 기능,장기렌트 고객의 만족도를 높이는 기본 제안 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
5,기아,스포티지,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",패밀리/장거리 고객에게 안전 편의 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
5,기아,스포티지,서라운드 뷰/주차 보조,차량 주변을 화면으로 확인하고 주차 부담을 줄이는 기능,SUV 운전에 부담을 느끼는 고객에게 제안하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
5,기아,스포티지,전동 테일게이트/컴포트 옵션,"짐 적재, 승하차, 시트 편의성을 높이는 기능",패밀리/레저 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
6,기아,카니발,후석 편의 옵션,2열/후석 승객의 승차감과 편의성을 높이는 기능,의전/패밀리 고객에게 만족도를 높이는 포인트,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
6,기아,카니발,스마트 도어/테일게이트,승하차와 짐 적재를 편하게 해주는 자동 개폐 기능,다인승 차량을 자주 이용하는 고객에게 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
6,기아,카니발,운전자 보조 패키지,"차로 유지, 충돌방지, 스마트 크루즈 등 안전 보조 기능",법인/의전 운행 시 안전성 강조에 적합,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
7,현대,아반떼,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",출퇴근/법인 고객에게 안전 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
7,현대,아반떼,내비게이션/HUD/디지털 편의,주행 정보 확인과 길안내 편의성을 높이는 기능,업무 이동이 많은 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
7,현대,아반떼,컴포트/시트 편의 옵션,통풍/열선/전동시트 등 승차 편의 기능,장기렌트 고객의 만족도를 높이는 기본 제안 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
8,현대,포터 II,후방 카메라/주차 보조,적재 차량 후진과 주차 안전을 보조하는 기능,업무용 운행에서 사고 예방 포인트로 설명 가능,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
8,현대,포터 II,적재/업무 편의 사양,화물 적재와 업무 동선을 편하게 해주는 사양,소상공인/물류 고객에게 실사용 편익 중심으로 제안,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
8,현대,포터 II,안전 보조 기능,"충돌방지, 차로 이탈 경고 등 운행 안전 보조 기능",업무차량 사고 리스크 감소 관점에서 설명,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
9,현대,투싼,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",패밀리/장거리 고객에게 안전 편의 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
9,현대,투싼,서라운드 뷰/주차 보조,차량 주변을 화면으로 확인하고 주차 부담을 줄이는 기능,SUV 운전에 부담을 느끼는 고객에게 제안하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
9,현대,투싼,전동 테일게이트/컴포트 옵션,"짐 적재, 승하차, 시트 편의성을 높이는 기능",패밀리/레저 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
10,현대,싼타페,운전자 보조 패키지,"전방 충돌방지, 차로 유지, 스마트 크루즈 등 주행 보조 기능",패밀리/장거리 고객에게 안전 편의 옵션으로 설명하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
10,현대,싼타페,서라운드 뷰/주차 보조,차량 주변을 화면으로 확인하고 주차 부담을 줄이는 기능,SUV 운전에 부담을 느끼는 고객에게 제안하기 좋음,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
10,현대,싼타페,전동 테일게이트/컴포트 옵션,"짐 적재, 승하차, 시트 편의성을 높이는 기능",패밀리/레저 고객에게 체감도가 높은 옵션,MVP 공통 설명. 실제 판매 옵션 데이터/가격표 분석으로 고도화 예정
